k,home_adv,player_boost,rest_factor,travel_factor,pace_factor,playoff_hca_factor,sos_factor,form_weight,accuracy,log_loss,brier,score
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7691,16.5863,7.923,56.81592039800994,0.6809427882013129,0.24395461073253014,-9.524134695110716
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7691,18.0863,5.923,56.749585406301826,0.6809446967469267,0.24395497426071083,-9.530798003773665
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7691,18.0863,6.923,56.782752902155885,0.6809447864946749,0.24395523937155703,-9.527492576604093
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7691,18.0863,7.923,56.71641791044776,0.6809453102475065,0.243955718635099,-9.534149436339234
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7991,15.0863,5.923,56.71641791044776,0.6809305870071732,0.2439483375890336,-9.53373640857395
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7991,15.0863,6.923,56.71641791044776,0.6809307289864136,0.24394862814969054,-9.533749166834152
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7991,15.0863,7.923,56.782752902155885,0.6809313049545174,0.24394913285660275,-9.52714046368466
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7991,16.5863,5.923,56.749585406301826,0.6809329750770342,0.24394938015533787,-9.530480466199606
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7991,16.5863,6.923,56.749585406301826,0.6809330912205735,0.2439496582255547,-9.530492518156594
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7991,16.5863,7.923,56.81592039800994,0.6809336413578406,0.24395015044364002,-9.52388310880733
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7991,18.0863,5.923,56.782752902155885,0.6809355491875869,0.24395051316284813,-9.527229629799034
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7991,18.0863,6.923,56.782752902155885,0.6809356394821057,0.2439507787240806,-9.527240974604481
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7991,18.0863,7.923,56.71641791044776,0.6809361637750545,0.24395125843448484,-9.533897856535052
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7391,15.0863,5.923,56.65008291873963,0.6809514680104106,0.24395849214271426,-9.540943137917893
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7391,15.0863,6.923,56.71641791044776,0.6809516286708669,0.24395879214946095,-9.534322924300596
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7391,15.0863,7.923,56.749585406301826,0.6809522233283356,0.24395930630383808,-9.531031498150025
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7391,16.5863,5.923,56.6832504145937,0.6809538475963685,0.2439595315934725,-9.537687003050477
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7391,16.5863,6.923,56.6832504145937,0.6809539824220585,0.24395981911362932,-9.53769958246227
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7391,16.5863,7.923,56.749585406301826,0.6809545512496323,0.24396032078304256,-9.53109070068858
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7391,18.0863,5.923,56.749585406301826,0.6809564132268512,0.24396066148564982,-9.53111922461062
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7391,18.0863,6.923,56.65008291873963,0.6809565222044501,0.24396093650066547,-9.541081345788257
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7391,18.0863,7.923,56.6832504145937,0.6809570651886431,0.2439614256662534,-9.53778850669991
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7691,15.0863,5.923,56.71641791044776,0.6809419651617524,0.24395385550643017,-9.53404815050645
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7691,15.0863,6.923,56.782752902155885,0.6809421263772524,0.24395415597987305,-9.527427959997354
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7691,15.0863,7.923,56.782752902155885,0.680942721583369,0.2439546705979367,-9.52745330636883
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7691,16.5863,5.923,56.749585406301826,0.680944345120486,0.24395489504267495,-9.530792022040703
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7691,16.5863,6.923,56.749585406301826,0.6809444805011251,0.2439551830282365,-9.530804624508278
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7691,16.5863,7.923,56.81592039800994,0.6809450498772505,0.24395568516004015,-9.524195765618614
3.0,25.3165,14.856,12.6871,0.0,27.4938,0.7691,18.0863,5.923,56.81592039800994,0.6809469111217005,0.24395602501932148,-9.524224249945467
