k,home_adv,player_boost,starter_boost,rest_factor,form_weight,travel_factor,sos_factor,playoff_hca_factor,pace_factor,division_factor,mean_reversion,b2b_penalty,road_trip_factor,homestand_factor,win_streak_factor,altitude_factor,season_phase_factor,scoring_consistency_factor,rest_advantage_cap,overtime_factor,accuracy,log_loss,brier,score
4.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.415700563100366,0.683952426234505,0.24541968309856999,-45.81139785239248
4.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.28320635972176,0.6839651015906855,0.2454258922004932,-45.9439231012807
4.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.4,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.018217952964555,0.6851874377105083,0.24602155057354808,-46.21188979990318
4.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.4,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,54.951970851275256,0.6852033435390228,0.2460286036263796,-46.27817216685664
4.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.7,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.018217952964555,0.6851046119764501,0.24598058789997806,-46.21168498653533
4.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.7,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,54.985094402119906,0.685120553161776,0.24598764312625904,-46.24484381351139
4.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,54.951970851275256,0.6850343261423926,0.24594593902416229,-46.277758843845554
4.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,54.951970851275256,0.6850503014709757,0.24595299484690428,-46.277794122959264
4.0,15.0,0.0,0.0,0.0,0.0,15.0,10.0,0.4,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.21695925803246,0.685179491801567,0.24601741781083694,-46.01312783102173
4.0,15.0,0.0,0.0,0.0,0.0,15.0,10.0,0.4,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.15071215634316,0.685194436665578,0.24602401807795865,-46.079407934046635
4.0,15.0,0.0,0.0,0.0,0.0,15.0,10.0,0.7,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.21695925803246,0.6850965945560139,0.24597641723930094,-46.012922828164044
4.0,15.0,0.0,0.0,0.0,0.0,15.0,10.0,0.7,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.21695925803246,0.6851115748767885,0.24598302001374583,-46.01295584203627
4.0,15.0,0.0,0.0,0.0,0.0,15.0,10.0,1.0,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.15071215634316,0.6850262373059672,0.24594173379052744,-46.07899651260948
4.0,15.0,0.0,0.0,0.0,0.0,15.0,10.0,1.0,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.018217952964555,0.6850412519620581,0.24594833767010213,-46.21152373538595
4.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.4,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.84630672408082,0.6840864333791944,0.24548823343121373,-45.38113444307525
